sno,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million
1,31-12-2019,0,0,0,0,0,0,0,0
2,01-01-2020,0,0,0,0,0,0,0,0
3,02-01-2020,0,0,0,0,0,0,0,0
4,03-01-2020,0,0,0,0,0,0,0,0
5,04-01-2020,0,0,0,0,0,0,0,0
6,05-01-2020,0,0,0,0,0,0,0,0
7,06-01-2020,0,0,0,0,0,0,0,0
8,07-01-2020,0,0,0,0,0,0,0,0
9,08-01-2020,0,0,0,0,0,0,0,0
10,09-01-2020,0,0,0,0,0,0,0,0
11,10-01-2020,0,0,0,0,0,0,0,0
12,11-01-2020,0,0,0,0,0,0,0,0
13,12-01-2020,0,0,0,0,0,0,0,0
14,13-01-2020,0,0,0,0,0,0,0,0
15,14-01-2020,0,0,0,0,0,0,0,0
16,15-01-2020,0,0,0,0,0,0,0,0
17,16-01-2020,0,0,0,0,0,0,0,0
18,17-01-2020,0,0,0,0,0,0,0,0
19,18-01-2020,0,0,0,0,0,0,0,0
20,19-01-2020,0,0,0,0,0,0,0,0
21,20-01-2020,0,0,0,0,0,0,0,0
22,21-01-2020,0,0,0,0,0,0,0,0
23,22-01-2020,0,0,0,0,0,0,0,0
24,23-01-2020,0,0,0,0,0,0,0,0
25,24-01-2020,0,0,0,0,0,0,0,0
26,25-01-2020,0,0,0,0,0,0,0,0
27,26-01-2020,0,0,0,0,0,0,0,0
28,27-01-2020,0,0,0,0,0,0,0,0
29,28-01-2020,0,0,0,0,0,0,0,0
30,29-01-2020,0,0,0,0,0,0,0,0
31,30-01-2020,1,1,0,0,0.001,0.001,0,0
32,31-01-2020,1,0,0,0,0.001,0,0,0
33,01-02-2020,1,0,0,0,0.001,0,0,0
34,02-02-2020,2,1,0,0,0.001,0.001,0,0
35,03-02-2020,2,0,0,0,0.001,0,0,0
36,04-02-2020,3,1,0,0,0.002,0.001,0,0
37,05-02-2020,3,0,0,0,0.002,0,0,0
38,06-02-2020,3,0,0,0,0.002,0,0,0
39,07-02-2020,3,0,0,0,0.002,0,0,0
40,08-02-2020,3,0,0,0,0.002,0,0,0
41,09-02-2020,3,0,0,0,0.002,0,0,0
42,10-02-2020,3,0,0,0,0.002,0,0,0
43,11-02-2020,3,0,0,0,0.002,0,0,0
44,12-02-2020,3,0,0,0,0.002,0,0,0
45,13-02-2020,3,0,0,0,0.002,0,0,0
46,14-02-2020,3,0,0,0,0.002,0,0,0
47,15-02-2020,3,0,0,0,0.002,0,0,0
48,16-02-2020,3,0,0,0,0.002,0,0,0
49,17-02-2020,3,0,0,0,0.002,0,0,0
50,18-02-2020,3,0,0,0,0.002,0,0,0
51,19-02-2020,3,0,0,0,0.002,0,0,0
52,20-02-2020,3,0,0,0,0.002,0,0,0
53,21-02-2020,3,0,0,0,0.002,0,0,0
54,22-02-2020,3,0,0,0,0.002,0,0,0
55,23-02-2020,3,0,0,0,0.002,0,0,0
56,24-02-2020,3,0,0,0,0.002,0,0,0
57,25-02-2020,3,0,0,0,0.002,0,0,0
58,26-02-2020,3,0,0,0,0.002,0,0,0
59,27-02-2020,3,0,0,0,0.002,0,0,0
60,28-02-2020,3,0,0,0,0.002,0,0,0
61,29-02-2020,3,0,0,0,0.002,0,0,0
62,01-03-2020,3,0,0,0,0.002,0,0,0
63,02-03-2020,3,0,0,0,0.002,0,0,0
64,03-03-2020,5,2,0,0,0.004,0.001,0,0
65,04-03-2020,6,1,0,0,0.004,0.001,0,0
66,05-03-2020,28,22,0,0,0.02,0.016,0,0
67,06-03-2020,29,1,0,0,0.021,0.001,0,0
68,07-03-2020,31,2,0,0,0.022,0.001,0,0
69,08-03-2020,34,3,0,0,0.025,0.002,0,0
70,10-03-2020,44,10,0,0,0.032,0.007,0,0
71,11-03-2020,50,6,0,0,0.036,0.004,0,0
72,12-03-2020,73,23,0,0,0.053,0.017,0,0
73,13-03-2020,75,2,1,1,0.054,0.001,0.001,0.001
74,14-03-2020,83,8,2,1,0.06,0.006,0.001,0.001
75,15-03-2020,90,7,2,0,0.065,0.005,0.001,0
76,16-03-2020,93,3,2,0,0.067,0.002,0.001,0
77,17-03-2020,125,32,3,1,0.091,0.023,0.002,0.001
78,18-03-2020,137,12,3,0,0.099,0.009,0.002,0
79,19-03-2020,165,28,3,0,0.12,0.02,0.002,0
80,20-03-2020,191,26,4,1,0.138,0.019,0.003,0.001
81,21-03-2020,231,40,4,0,0.167,0.029,0.003,0
82,22-03-2020,320,89,4,0,0.232,0.064,0.003,0
83,23-03-2020,439,119,7,3,0.318,0.086,0.005,0.002
84,24-03-2020,492,53,9,2,0.357,0.038,0.007,0.001
85,25-03-2020,562,70,9,0,0.407,0.051,0.007,0
86,26-03-2020,649,87,13,4,0.47,0.063,0.009,0.003
87,27-03-2020,724,75,17,4,0.525,0.054,0.012,0.003
88,28-03-2020,873,149,19,2,0.633,0.108,0.014,0.001
89,29-03-2020,979,106,25,6,0.709,0.077,0.018,0.004
90,30-03-2020,1071,92,29,4,0.776,0.067,0.021,0.003
91,31-03-2020,1251,180,32,3,0.907,0.13,0.023,0.002
92,01-04-2020,1397,146,35,3,1.012,0.106,0.025,0.002
93,02-04-2020,1965,568,50,15,1.424,0.412,0.036,0.011
94,03-04-2020,2301,336,56,6,1.667,0.243,0.041,0.004
95,04-04-2020,2902,601,68,12,2.103,0.436,0.049,0.009
96,05-04-2020,3374,472,77,9,2.445,0.342,0.056,0.007
97,06-04-2020,4067,693,109,32,2.947,0.502,0.079,0.023
98,07-04-2020,4421,354,114,5,3.204,0.257,0.083,0.004
99,08-04-2020,5194,773,149,35,3.764,0.56,0.108,0.025
100,09-04-2020,5734,540,166,17,4.155,0.391,0.12,0.012
101,10-04-2020,6412,678,199,33,4.646,0.491,0.144,0.024
102,11-04-2020,7447,1035,239,40,5.396,0.75,0.173,0.029
103,12-04-2020,8356,909,273,34,6.055,0.659,0.198,0.025
104,13-04-2020,9152,796,308,35,6.632,0.577,0.223,0.025
105,14-04-2020,10363,1211,339,31,7.509,0.878,0.246,0.022
106,15-04-2020,11438,1075,377,38,8.288,0.779,0.273,0.028
107,16-04-2020,12380,942,414,37,8.971,0.683,0.3,0.027
108,17-04-2020,13387,1007,437,23,9.701,0.73,0.317,0.017
109,18-04-2020,14378,991,480,43,10.419,0.718,0.348,0.031
110,19-04-2020,15712,1334,507,27,11.385,0.967,0.367,0.02
111,20-04-2020,17265,1553,543,36,12.511,1.125,0.393,0.026
112,21-04-2020,18600,1335,590,47,13.478,0.967,0.428,0.034
113,22-04-2020,19984,1384,640,50,14.481,1.003,0.464,0.036
114,23-04-2020,21393,1409,681,41,15.502,1.021,0.493,0.03
115,24-04-2020,23077,1684,718,37,16.722,1.22,0.52,0.027
116,25-04-2020,24506,1429,775,57,17.758,1.036,0.562,0.041
117,26-04-2020,26496,1990,824,49,19.2,1.442,0.597,0.036
118,27-04-2020,27892,1396,872,48,20.212,1.012,0.632,0.035
119,28-04-2020,29435,1543,934,62,21.33,1.118,0.677,0.045
120,29-04-2020,31332,1897,1007,73,22.704,1.375,0.73,0.053
121,30-04-2020,33050,1718,1074,67,23.949,1.245,0.778,0.049
122,01-05-2020,35043,1993,1147,73,25.393,1.444,0.831,0.053
123,02-05-2020,37336,2293,1218,71,27.055,1.662,0.883,0.051
124,03-05-2020,39980,2644,1301,83,28.971,1.916,0.943,0.06
125,04-05-2020,42533,2553,1373,72,30.821,1.85,0.995,0.052
