"sno","state","totalcases","cured","deaths"
1,"Andaman & Nicobar Island",2186,1032,24
2,"Andhra Pradesh",273085,180703,2475
3,"Arunanchal Pradesh",2607,1750,5
4,"Assam",74501,51693,175
5,"Bihar",98008,64930,442
6,"Chandigarh",1928,1091,28
7,"Chhattisgarh",14481,9857,130
8,"Daman & Diu",1797,1331,2
9,"NCT of Delhi",150652,135108,4178
10,"Goa",10970,7157,93
11,"Gujarat",76480,59538,2746
12,"Haryana",45614,38348,518
13,"Himachal Pradesh",3874,2551,19
14,"Jammu & Kashmir",27489,19942,520
15,"Jharkhand",21595,13515,224
16,"Karnataka",211108,128182,3717
17,"Kerala",41277,26992,139
18,"Lakshadweep",0,0,0
19,"Maharashtra",572734,401442,19427
20,"Manipur",4198,2360,13
21,"Meghalaya",1228,581,6
22,"Mizoram",657,348,0
23,"Madhya Pradesh",43414,32405,1081
24,"Nagaland",3322,1198,8
25,"Odisha",54360,39206,324
26,"Puducherry",6995,4009,106
27,"Punjab",29013,18328,731
28,"Rajasthan",58692,43897,846
29,"Sikkim",1080,623,1
30,"Tamil Nadu",326245,267015,5514
31,"Telangana",90259,66196,684
32,"Tripura",6934,5088,50
33,"Uttar Pradesh",145287,92526,2335
34,"Uttarakhand",11615,7502,147
35,"West Bengal",110358,81189,2319
